SMILES,types,pCMC,pCMC_std,AW_ST_CMC,AW_ST_CMC_std,Gamma_max,Gamma_max_std,Area_min,Area_min_std,Pi_CMC,Pi_CMC_std,pC20,pC20_std
CC(C)(C)OCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,2.8569852,0,44,0,1.1,0,1.51,0,28,0,3.18,0
CCCC(CC(F)C(F)(F)F)OS(=O)(=O)[O-].[Na+],anionic,1.602059991,0,19,0,2.56,0,0.66,0,53,0,2.731026457,0
CCCC(OS(=O)(=O)[O-])c1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1.[Na+],anionic,4.09691001300806,0,20,0,1.8,0,0.94,0,48.679859161377,2.1338356239158,4.11212301254273,0.444226536654989
CCCC(OS(=O)(=O)[O-])c1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1.[Na+],anionic,3.04575749056068,0,18,0,2.1,0,0.8,0,49.9804916381836,1.53166550773301,3.89447331428528,0.442826642559204
CCCC(OS(=O)(=O)[O-])c1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1.[Na+],anionic,2.15490195998574,0,19,0,2.5,0,0.66,0,50.9982681274414,1.44843695021421,3.6857967376709,0.445270973878568
CCCCC(=O)OCC(COC(=O)CCCC)S(=O)(=O)[O-].[Na+],anionic,1.238974748,0,27.1819705963135,3.58133079549729,1.25269103050232,0.365738873840576,1.55802261829376,0.440269559214548,45.1657028198242,3.49003763297135,3.46830129623413,0.597630884284302
CCCCC(CC)CC(=O)OCC(COC(=O)CC(CC)CCCC)S(=O)(=O)[O-].[Na+],anionic,0.662940274,0,23.4769153594971,1.68002661389491,1.57986700534821,0.457728136500536,1.34838318824768,0.328027878616176,47.794563293457,2.18452983689823,4.08832216262817,0.495814319931427
CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-].[Na+],anionic,2.602059991,0,23.3331737518311,1.9899463752654,1.64852118492126,0.475215795505541,1.35162281990051,0.476198312473313,48.0004272460938,2.31212062251362,3.92995309829712,0.445003646173542
CCCCCC(=O)OCC(COC(=O)CCCCC)S(=O)(=O)[O-].[Na+],anionic,1.817015033,0,28.1048030853272,3.86796939228796,1.18710899353027,0.381081730620785,1.67925488948822,0.495504823566173,43.5745429992676,3.63937896705746,3.70878458023071,0.586098017588586
CCCCCC(CCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,2.047013935,0,24.5359439849854,3.16096083537399,1.55796563625336,0.398421523935609,1.33507990837097,0.596549606250178,47.4342384338379,3.40418450882804,3.9874095916748,0.309481396181522
CCCCCC(CCCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,2.250031916,0,25.5071468353272,3.7979012320709,1.37968182563782,0.422278522608633,1.52263355255127,0.696350054520641,46.3373031616211,3.88963148589303,4.16243743896484,0.377343357071943
CCCCCC(CCCCC)OS(=O)(=O)[O-].[Na+],anionic,1.080974235,0,27.8711814880371,4.02465756409372,0.67,0,2.48,0,45.1207504272461,3.97325768058696,3.05170655250549,0.585498461048356
CCCCCC(OS(=O)(=O)[O-])c1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1.[Na+],anionic,3.42137265205383,0.454411846093108,20.1335391998291,1.51372285939072,1.6,0,1.04,0,48.0955467224121,2.2255211706449,4.32991075515747,0.407468902328525
CCCCCC(OS(=O)(=O)[O-])c1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1.[Na+],anionic,3.46852108295774,0,20,0,1.6,0,1.04,0,49.1778526306152,1.85070798736993,4.12672519683838,0.441912237274712
CCCCCC(OS(=O)(=O)[O-])c1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1.[Na+],anionic,2.52287874528034,0,19,0,1.7,0,0.99,0,50.3387260437012,1.49033194168646,3.92679858207703,0.449872174059924
CCCCCCC(C)OS(=O)(=O)[O-].[Na+],anionic,0.744968837,0,25.8929138183594,3.76167632412046,0.847,0,1.96,0,47.1340255737305,3.69979341997724,2.85705184936523,0.464305512953921
CCCCCCC(CC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,1.966978555,0,24.6808300018311,3.14673902187502,1.55684196949005,0.377830073134164,1.33960115909576,0.590619577534026,47.2704734802246,3.51103859075309,3.93039703369141,0.339430716704343
CCCCCCC(CCCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,2.585026652,0,25.8282508850098,3.32747954621852,1.52371382713318,0.442265435044477,1.36451876163483,0.680064699988701,45.9128723144531,3.27676380506102,4.21388721466064,0.352621238346471
